file,Ball Plate ID and Orientation,Inspector,Inspection Time,Temperature_°C,Pos S0_nominal_x,Pos S0_nominal_y,Pos S0_nominal_z,Pos S0_actual_x,Pos S0_actual_y,Pos S0_actual_z,Pos S0_error_x,Pos S0_error_y,Pos S0_error_z,Pos S1_nominal_x,Pos S1_nominal_y,Pos S1_nominal_z,Pos S1_actual_x,Pos S1_actual_y,Pos S1_actual_z,Pos S1_error_x,Pos S1_error_y,Pos S1_error_z,Pos S2_nominal_x,Pos S2_nominal_y,Pos S2_nominal_z,Pos S2_actual_x,Pos S2_actual_y,Pos S2_actual_z,Pos S2_error_x,Pos S2_error_y,Pos S2_error_z,Pos S3_nominal_x,Pos S3_nominal_y,Pos S3_nominal_z,Pos S3_actual_x,Pos S3_actual_y,Pos S3_actual_z,Pos S3_error_x,Pos S3_error_y,Pos S3_error_z,Pos S4_nominal_x,Pos S4_nominal_y,Pos S4_nominal_z,Pos S4_actual_x,Pos S4_actual_y,Pos S4_actual_z,Pos S4_error_x,Pos S4_error_y,Pos S4_error_z,Diameter_D0_nominal,Diameter_D0_actual,Diameter_D0_error,Diameter_D1_nominal,Diameter_D1_actual,Diameter_D1_error,Diameter_D2_nominal,Diameter_D2_actual,Diameter_D2_error,Diameter_D3_nominal,Diameter_D3_actual,Diameter_D3_error,Diameter_D4_nominal,Diameter_D4_actual,Diameter_D4_error
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20211207T040041.csv,P509-east,Larry,20211207T1557,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4828,37.5155,0.0828,-0.0172,0.0155,0.0828,-63.5000,37.5000,0.0000,-63.4520,37.5155,0.0686,0.0480,0.0155,0.0686,-62.5000,-36.5000,0.0000,-62.4787,-36.4622,0.0830,0.0213,0.0378,0.0830,61.5000,-37.5000,0.0000,61.4442,-37.4644,0.0691,-0.0558,0.0356,0.0691,25.4000,25.3986,-0.0014,25.4000,25.4033,0.0033,25.4000,25.4024,0.0024,25.4000,25.4045,0.0045,25.4000,25.4026,0.0026
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20211207T044500.csv,P509-east,Larry,20211207T1641,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4833,37.5158,0.0824,-0.0167,0.0158,0.0824,-63.5000,37.5000,0.0000,-63.4520,37.5158,0.0683,0.0480,0.0158,0.0683,-62.5000,-36.5000,0.0000,-62.4793,-36.4615,0.0825,0.0207,0.0385,0.0825,61.5000,-37.5000,0.0000,61.4440,-37.4644,0.0688,-0.0560,0.0356,0.0688,25.4000,25.3985,-0.0015,25.4000,25.4024,0.0024,25.4000,25.4025,0.0025,25.4000,25.4045,0.0045,25.4000,25.4020,0.0020
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_1-20211207T052902.csv,P509-east,Larry,20211207T1725,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4829,37.5158,0.0828,-0.0171,0.0158,0.0828,-63.5000,37.5000,0.0000,-63.4524,37.5158,0.0685,0.0476,0.0158,0.0685,-62.5000,-36.5000,0.0000,-62.4785,-36.4618,0.0830,0.0215,0.0382,0.0830,61.5000,-37.5000,0.0000,61.4446,-37.4641,0.0690,-0.0554,0.0359,0.0690,25.4000,25.3986,-0.0014,25.4000,25.4033,0.0033,25.4000,25.4024,0.0024,25.4000,25.4044,0.0044,25.4000,25.4029,0.0029
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20211207T040408.csv,P509-east,Larry,20211207T1600,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4838,37.5161,0.0828,-0.0162,0.0161,0.0828,-63.5000,37.5000,0.0000,-63.4510,37.5161,0.0691,0.0490,0.0161,0.0691,-62.5000,-36.5000,0.0000,-62.4786,-36.4614,0.0830,0.0214,0.0386,0.0830,61.5000,-37.5000,0.0000,61.4454,-37.4637,0.0695,-0.0546,0.0363,0.0695,25.4000,25.3988,-0.0012,25.4000,25.4027,0.0027,25.4000,25.4024,0.0024,25.4000,25.4057,0.0057,25.4000,25.4022,0.0022
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20211207T044826.csv,P509-east,Larry,20211207T1645,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4840,37.5160,0.0824,-0.0160,0.0160,0.0824,-63.5000,37.5000,0.0000,-63.4512,37.5160,0.0683,0.0488,0.0160,0.0683,-62.5000,-36.5000,0.0000,-62.4790,-36.4617,0.0826,0.0210,0.0383,0.0826,61.5000,-37.5000,0.0000,61.4442,-37.4644,0.0687,-0.0558,0.0356,0.0687,25.4000,25.3993,-0.0007,25.4000,25.4030,0.0030,25.4000,25.4029,0.0029,25.4000,25.4051,0.0051,25.4000,25.4030,0.0030
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_2-20211207T053228.csv,P509-east,Larry,20211207T1729,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4836,37.5154,0.0831,-0.0164,0.0154,0.0831,-63.5000,37.5000,0.0000,-63.4508,37.5154,0.0688,0.0492,0.0154,0.0688,-62.5000,-36.5000,0.0000,-62.4785,-36.4617,0.0833,0.0215,0.0383,0.0833,61.5000,-37.5000,0.0000,61.4447,-37.4642,0.0693,-0.0553,0.0358,0.0693,25.4000,25.3990,-0.0010,25.4000,25.4036,0.0036,25.4000,25.4029,0.0029,25.4000,25.4047,0.0047,25.4000,25.4025,0.0025
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20211207T040734.csv,P509-east,Larry,20211207T1604,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4837,37.5159,0.0828,-0.0163,0.0159,0.0828,-63.5000,37.5000,0.0000,-63.4515,37.5159,0.0684,0.0485,0.0159,0.0684,-62.5000,-36.5000,0.0000,-62.4784,-36.4611,0.0830,0.0216,0.0389,0.0830,61.5000,-37.5000,0.0000,61.4444,-37.4641,0.0688,-0.0556,0.0359,0.0688,25.4000,25.3989,-0.0011,25.4000,25.4033,0.0033,25.4000,25.4035,0.0035,25.4000,25.4046,0.0046,25.4000,25.4026,0.0026
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20211207T045153.csv,P509-east,Larry,20211207T1648,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4827,37.5157,0.0827,-0.0173,0.0157,0.0827,-63.5000,37.5000,0.0000,-63.4517,37.5157,0.0683,0.0483,0.0157,0.0683,-62.5000,-36.5000,0.0000,-62.4794,-36.4621,0.0829,0.0206,0.0379,0.0829,61.5000,-37.5000,0.0000,61.4442,-37.4651,0.0688,-0.0558,0.0349,0.0688,25.4000,25.3985,-0.0015,25.4000,25.4034,0.0034,25.4000,25.4030,0.0030,25.4000,25.4048,0.0048,25.4000,25.4023,0.0023
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_3-20211207T053554.csv,P509-east,Larry,20211207T1732,20.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4834,37.5155,0.0826,-0.0166,0.0155,0.0826,-63.5000,37.5000,0.0000,-63.4513,37.5155,0.0683,0.0487,0.0155,0.0683,-62.5000,-36.5000,0.0000,-62.4786,-36.4621,0.0828,0.0214,0.0379,0.0828,61.5000,-37.5000,0.0000,61.4446,-37.4643,0.0687,-0.0554,0.0357,0.0687,25.4000,25.3991,-0.0009,25.4000,25.4030,0.0030,25.4000,25.4033,0.0033,25.4000,25.4054,0.0054,25.4000,25.4027,0.0027
cmm-csv-files\P509_remount_20211207\reports\BallPlateGen5_Fixture_P509-east-DC-1_4-20211207T041100.csv,P509-east,Larry,20211207T1607,20.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.5000,37.5000,0.0000,62.4835,37.5156,0.0836,-0.0165,0.0156,0.0836,-63.5000,37.5000,0.0000,-63.4512,37.5156,0.0698,0.0488,0.0156,0.0698,-62.5000,-36.5000,0.0000,-62.4780,-36.4618,0.0838,0.0220,0.0382,0.0838,61.5000,-37.5000,0.0000,61.4447,-37.4642,0.0702,-0.0553,0.0358,0.0702,25.4000,25.3992,-0.0008,25.4000,25.4028,0.0028,25.4000,25.4019,0.0019,25.4000,25.4045,0.0045,25.4000,25.4024,0.0024
